INDEX,RFR,SVR,MLP,GRU,LSTM
169,18.92762748,16.51104279,15.35095978,19.17219925,16.19067001
170,14.3666022,19.3801748,28.38008118,17.4082489,16.04825974
171,6.892947846,11.62658119,12.87790527,1.26365509,6.39484253
172,7.613531946,13.43589223,16.13762131,20.58169022,11.36850204
173,19.54445987,14.26052909,17.03590393,3.65510178,7.83216858
174,18.53016792,18.47427348,18.15400696,1.51275253,2.85590363
175,9.520760624,14.06462415,13.89717865,2.96916962,4.95292282
176,4.810736521,6.337960192,10.41239166,2.22497559,3.86078644
177,19.62911494,20.59576211,26.03067398,17.89479065,14.71830368
178,12.35375673,18.8586919,20.95342255,5.83685303,20.53149033
179,7.031605018,6.957811348,9.07198715,1.65402603,3.78676987
180,3.491301987,1.81411502,8.533983,5.20592667,9.49212814
181,10.50393376,9.358245674,2.68404388,20.48943329,17.2793541
182,6.321128523,1.071181125,2.81547928,0.86384583,4.25947571
183,16.75291362,13.23749874,4.0105367,5.45619634,2.99058584
184,22.10178026,12.9620479,9.72620178,15.36280991,11.07245422
185,21.87206335,14.01606571,12.49967453,25.95267746,21.36107132
186,25.35614242,16.08297416,7.85744019,15.77099915,21.95801086
187,18.40501608,12.68376691,3.76238129,12.1366069,14.74272797
188,15.28008252,15.37091146,8.92805481,11.64125443,15.55834198
189,15.27615216,8.409194965,4.21108246,14.59014511,2.85315323
190,16.2719305,5.183589384,14.3728981,6.4983139,5.55677032
191,23.25293423,24.83352354,21.5030629,44.43574493,29.4879834
192,29.43696885,31.33186793,41.58740234,29.88810349,29.3803978
193,28.93868163,38.37032407,44.11875153,27.10516357,29.87558556
194,30.95578488,23.27559815,13.11583939,43.01999702,38.1567482
195,27.49709325,22.00259855,32.23047897,27.5785434,28.90364334
196,29.35842517,30.52428957,45.80183792,36.16576385,35.66418457
197,21.64805735,32.73838767,42.66403961,30.8613205,28.76900291
198,28.51264342,24.37681387,40.19551086,20.20257568,22.1942234
199,24.98039054,26.97585763,10.9218359,29.61473083,25.695261
